Number;Process;Time
100000;2; 0.002161
1000000;2; 0.017121
10000000;2; 0.168474
100000000;2; 1.641117
1000000000;2; 16.487047
10000000000;2; 23.168590
100000;4; 0.001163
1000000;4; 0.008592
10000000;4; 0.083259
100000000;4; 0.836632
1000000000;4; 8.195436
10000000000;4; 11.615358
100000;8; 0.000982
1000000;8; 0.004931
10000000;8; 0.044176
100000000;8; 0.466821
1000000000;8; 4.192889
10000000000;8; 5.886214
100000;16; 0.001183
1000000;16; 0.005172
10000000;16; 0.042520
100000000;16; 0.438759
1000000000;16; 4.164307
10000000000;16; 5.879880
100000;32; 0.002100
1000000;32; 0.005854
10000000;32; 0.046115
100000000;32; 0.434651
1000000000;32; 4.214778
10000000000;32; 5.894796
100000;2; 0.001915
1000000;2; 0.016937
10000000;2; 0.167761
100000000;2; 1.647125
1000000000;2; 16.423139
10000000000;2; 23.180503
100000;4; 0.001284
1000000;4; 0.008828
10000000;4; 0.083635
100000000;4; 0.831243
1000000000;4; 8.242423
10000000000;4; 11.645870
100000;8; 0.001027
1000000;8; 0.005088
10000000;8; 0.042393
100000000;8; 0.453896
1000000000;8; 4.186589
10000000000;8; 5.967217
100000;16; 0.001455
1000000;16; 0.005185
10000000;16; 0.043349
100000000;16; 0.451293
1000000000;16; 4.251402
10000000000;16; 5.853774
100000;32; 0.002084
1000000;32; 0.005813
10000000;32; 0.042883
100000000;32; 0.430277
1000000000;32; 4.168175
10000000000;32; 5.854495
100000;2; 0.001804
1000000;2; 0.016959
10000000;2; 0.165578
100000000;2; 1.671566
1000000000;2; 16.651514
10000000000;2; 23.147039
100000;4; 0.001160
1000000;4; 0.008753
10000000;4; 0.084121
100000000;4; 0.834044
1000000000;4; 8.367726
10000000000;4; 11.618921
100000;8; 0.000993
1000000;8; 0.004739
10000000;8; 0.042934
100000000;8; 0.457765
1000000000;8; 4.208131
10000000000;8; 5.878436
100000;16; 0.001293
1000000;16; 0.005327
10000000;16; 0.043900
100000000;16; 0.445926
1000000000;16; 4.275598
10000000000;16; 6.636032
100000;32; 0.002785
1000000;32; 0.007446
10000000;32; 0.044870
100000000;32; 0.437328
1000000000;32; 4.431095
10000000000;32; 5.991341
100000;2; 0.001900
1000000;2; 0.016500
10000000;2; 0.168397
100000000;2; 1.667097
1000000000;2; 16.428055
10000000000;2; 23.320456
100000;4; 0.001203
1000000;4; 0.008817
10000000;4; 0.083640
100000000;4; 0.839598
1000000000;4; 8.318555
10000000000;4; 11.580047
100000;8; 0.000960
1000000;8; 0.004762
10000000;8; 0.043271
100000000;8; 0.470388
1000000000;8; 4.332302
10000000000;8; 5.987017
100000;16; 0.001235
1000000;16; 0.005091
10000000;16; 0.042626
100000000;16; 0.477659
1000000000;16; 4.298445
10000000000;16; 6.148009
100000;32; 0.001873
1000000;32; 0.005723
10000000;32; 0.047039
100000000;32; 0.433027
1000000000;32; 4.154697
10000000000;32; 5.877070
100000;2; 0.001884
1000000;2; 0.016962
10000000;2; 0.165532
100000000;2; 1.644062
1000000000;2; 16.653848
10000000000;2; 23.444270
100000;4; 0.001209
1000000;4; 0.008677
10000000;4; 0.084678
100000000;4; 0.834576
1000000000;4; 8.343068
10000000000;4; 11.600596
