Number;Time
100000; 0.004762
1000000; 0.013528
10000000; 0.128486
100000000; 1.190405
1000000000; 12.388059
10000000000; 16.984630
100000000000; 14.401074
100000; 0.001914
1000000; 0.012760
10000000; 0.126516
100000000; 1.189980
1000000000; 12.163378
10000000000; 17.119269
100000000000; 14.898550
100000; 0.001335
1000000; 0.013119
10000000; 0.127520
100000000; 1.217595
1000000000; 12.748068
10000000000; 17.270898
100000000000; 14.775137
100000; 0.002048
1000000; 0.013671
10000000; 0.127967
100000000; 1.224017
1000000000; 12.174822
10000000000; 17.117267
100000000000; 14.932354
100000; 0.001301
1000000; 0.012912
10000000; 0.129677
100000000; 1.213894
1000000000; 12.229350
10000000000; 17.644159
100000000000; 14.980461
100000; 0.001819
1000000; 0.012706
10000000; 0.126912
100000000; 1.213845
1000000000; 12.157217
10000000000; 17.186399
100000000000; 15.483728
100000; 0.001396
1000000; 0.013638
10000000; 0.128147
100000000; 1.205578
1000000000; 12.530285
10000000000; 17.222294
100000000000; 15.010028
100000; 0.001267
1000000; 0.012741
10000000; 0.128619
100000000; 1.227849
1000000000; 12.414946
10000000000; 17.353502
100000000000; 15.105129
100000; 0.001310
1000000; 0.012677
10000000; 0.130154
100000000; 1.230164
1000000000; 12.181536
10000000000; 17.345620
100000000000; 14.817990
100000; 0.001253
1000000; 0.012916
10000000; 0.129297
100000000; 1.224606
1000000000; 12.236692
10000000000; 17.324536
100000000000; 14.919767

