Number;Threads;Time
100000;2; 0.006216
1000000;2; 0.087281
10000000;2; 0.977820
100000000;2; 8.822499
1000000000;2; 106.592087
10000000000;2; 157.151017
100000;4; 0.009527
1000000;4; 0.082661
10000000;4; 0.916993
100000000;4; 9.163676
1000000000;4; 92.332348
10000000000;4; 128.072389
100000;8; 0.017196
1000000;8; 0.173709
10000000;8; 1.677349
100000000;8; 18.384621
1000000000;8; 167.642415
10000000000;8; 232.379167
100000;16; 0.019223
1000000;16; 0.190941
10000000;16; 1.930342
100000000;16; 19.121060
1000000000;16; 191.401624
10000000000;16; 266.198871
100000;32; 0.018663
1000000;32; 0.186678
10000000;32; 1.911607
100000000;32; 19.244384
1000000000;32; 192.385800
10000000000;32; 272.103599
100000;2; 0.011833
1000000;2; 0.108242
10000000;2; 1.013590
100000000;2; 11.224370
1000000000;2; 108.904593
10000000000;2; 149.405801
100000;4; 0.009429
1000000;4; 0.088771
10000000;4; 0.916680
100000000;4; 9.428766
1000000000;4; 94.921387
10000000000;4; 131.027917
100000;8; 0.016017
1000000;8; 0.167490
10000000;8; 1.658326
100000000;8; 16.851942
1000000000;8; 169.274433
10000000000;8; 238.355117
100000;16; 0.017065
1000000;16; 0.194897
10000000;16; 1.904566
100000000;16; 19.041339
1000000000;16; 190.133616
10000000000;16; 271.391184
100000;32; 0.018304
1000000;32; 0.198635
10000000;32; 1.867844
100000000;32; 19.687551
1000000000;32; 192.003887
10000000000;32; 270.294036
100000;2; 0.006462
1000000;2; 0.095003
10000000;2; 0.994473
100000000;2; 12.164194
1000000000;2; 118.149342
10000000000;2; 155.334204
100000;4; 0.010056
1000000;4; 0.087686
10000000;4; 0.947022
100000000;4; 9.600632
1000000000;4; 95.026617
10000000000;4; 131.875410
100000;8; 0.018383
1000000;8; 0.164546
10000000;8; 1.609956
100000000;8; 18.059786
1000000000;8; 164.203843
10000000000;8; 233.669254
100000;16; 0.016867
1000000;16; 0.174703
10000000;16; 1.935368
100000000;16; 19.196538
1000000000;16; 192.404164
10000000000;16; 268.801578
100000;32; 0.018912
1000000;32; 0.193970
10000000;32; 1.869558
100000000;32; 19.078836
1000000000;32; 190.329070
10000000000;32; 270.373313
100000;2; 0.012225
1000000;2; 0.128897
10000000;2; 1.061270
100000000;2; 11.604250
1000000000;2; 114.063702
10000000000;2; 164.958813
100000;4; 0.009342
1000000;4; 0.086029
10000000;4; 0.966409
100000000;4; 9.117358
1000000000;4; 92.026686
10000000000;4; 132.291851
100000;8; 0.017772
1000000;8; 0.170936
10000000;8; 1.653607
100000000;8; 16.812543
1000000000;8; 183.822902
10000000000;8; 238.179713
100000;16; 0.015863
1000000;16; 0.190498
10000000;16; 1.904331
100000000;16; 18.954824
1000000000;16; 190.515141
10000000000;16; 268.698480
100000;32; 0.018092
1000000;32; 0.193646
10000000;32; 1.916943
100000000;32; 19.147465
1000000000;32; 191.002038
10000000000;32; 261.847438
100000;2; 0.012011
1000000;2; 0.091462
10000000;2; 1.144406
100000000;2; 11.204215
1000000000;2; 120.393301
10000000000;2; 156.744325
100000;4; 0.009505
1000000;4; 0.090326
10000000;4; 0.922112
100000000;4; 9.393447
1000000000;4; 93.870183
10000000000;4; 130.692175
100000;8; 0.017715
1000000;8; 0.172630
10000000;8; 1.659751
100000000;8; 16.771185
1000000000;8; 167.964297
10000000000;8; 240.176176
100000;16; 0.017315
1000000;16; 0.172920
10000000;16; 1.891574
100000000;16; 18.982648
1000000000;16; 184.210818
10000000000;16; 269.901806
100000;32; 0.018583
1000000;32; 0.198448
10000000;32; 1.920520
100000000;32; 19.119068
1000000000;32; 191.030725
10000000000;32; 270.257297
100000;2; 0.011498
1000000;2; 0.088899
10000000;2; 1.150222
100000000;2; 11.879107
