Number;Process;Time
100000;2; 0.002507
1000000;2; 0.023575
10000000;2; 0.224892
100000000;2; 2.233032
1000000000;2; 22.286059
10000000000;2; 31.912018
100000;4; 0.001817
1000000;4; 0.011825
10000000;4; 0.114065
100000000;4; 1.160172
1000000000;4; 11.456217
10000000000;4; 16.083727
100000;8; 0.001435
1000000;8; 0.007037
10000000;8; 0.060279
100000000;8; 0.596759
1000000000;8; 5.950390
10000000000;8; 8.357332
100000;16; 0.001369
1000000;16; 0.007283
10000000;16; 0.058631
100000000;16; 0.595755
1000000000;16; 5.855964
10000000000;16; 8.304407
100000;32; 0.002275
1000000;32; 0.007875
10000000;32; 0.062009
100000000;32; 0.594452
1000000000;32; 5.871327
10000000000;32; 8.239180
100000;2; 0.002709
1000000;2; 0.022588
10000000;2; 0.228333
100000000;2; 2.265814
1000000000;2; 22.606290
10000000000;2; 31.495429
100000;4; 0.001517
1000000;4; 0.011834
10000000;4; 0.118520
100000000;4; 1.152701
1000000000;4; 11.601342
10000000000;4; 16.538104
100000;8; 0.001583
1000000;8; 0.007460
10000000;8; 0.063792
100000000;8; 0.619455
1000000000;8; 6.005641
10000000000;8; 8.481168
100000;16; 0.001417
1000000;16; 0.007168
10000000;16; 0.073409
100000000;16; 0.605140
1000000000;16; 6.048009
10000000000;16; 8.487775
100000;32; 0.002458
1000000;32; 0.007864
10000000;32; 0.062564
100000000;32; 0.607462
1000000000;32; 6.042299
10000000000;32; 8.388650
100000;2; 0.002532
1000000;2; 0.023642
10000000;2; 0.224454
100000000;2; 2.242941
1000000000;2; 22.686948
10000000000;2; 31.686484
100000;4; 0.001626
1000000;4; 0.012858
10000000;4; 0.117107
100000000;4; 1.176001
1000000000;4; 11.484432
10000000000;4; 16.463880
100000;8; 0.001207
1000000;8; 0.006237
10000000;8; 0.063022
100000000;8; 0.606403
1000000000;8; 6.000549
10000000000;8; 8.544046
100000;16; 0.001460
1000000;16; 0.006844
10000000;16; 0.059707
100000000;16; 0.608029
1000000000;16; 5.983945
10000000000;16; 8.415972
100000;32; 0.002770
1000000;32; 0.007817
10000000;32; 0.062535
100000000;32; 0.608833
1000000000;32; 6.017280
10000000000;32; 8.433299
100000;2; 0.002573
1000000;2; 0.023278
10000000;2; 0.238145
100000000;2; 2.250797
1000000000;2; 22.847704
10000000000;2; 32.071052
100000;4; 0.001530
1000000;4; 0.012578
10000000;4; 0.114561
100000000;4; 1.154815
1000000000;4; 11.565835
10000000000;4; 16.369107
100000;8; 0.001157
1000000;8; 0.006444
10000000;8; 0.059361
100000000;8; 0.602189
1000000000;8; 6.700663
10000000000;8; 8.376229
100000;16; 0.001623
1000000;16; 0.007653
